statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10,Gini Coefficient,allHouse,Own,Rent,% Houses Owned,% Houses Rented,w,b,a,h,% White,% Black,% Asian,% Hispanic
17,6203,62,Census Tract 6203,62,17031620300,,620300,31,0.351,1911,1406,505,0.73574045,0.26425955,69.3,0,1,52.4,0.693,0,0.01,0.524
17,6204,62,Census Tract 6204,62,17031620400,,620400,31,0.269,1225,1057,168,0.862857143,0.137142857,55.7,6.4,1.9,68.1,0.557,0.064,0.019,0.681
17,6301,63,Census Tract 6301,63,17031630100,,630100,31,0.411,374,127,247,0.339572193,0.660427807,44.9,24.1,0,69.3,0.449,0.241,0,0.693
17,6302,63,Census Tract 6302,63,17031630200,,630200,31,0.321,544,291,253,0.534926471,0.465073529,58.1,0,4.4,75.2,0.581,0,0.044,0.752
17,6303,63,Census Tract 6303,63,17031630300,,630300,31,0.387,1192,815,377,0.683724832,0.316275168,59.1,0,0,86.5,0.591,0,0,0.865
17,6304,63,Census Tract 6304,63,17031630400,,630400,31,0.356,1615,1006,609,0.622910217,0.377089783,49.3,0.6,0.3,85.8,0.493,0.006,0.003,0.858
17,6305,63,Census Tract 6305,63,17031630500,,630500,31,0.324,1349,705,644,0.52260934,0.47739066,43.7,4.2,0,88.8,0.437,0.042,0,0.888
17,6308,63,Census Tract 6308,63,17031630800,,630800,31,0.363,1691,1025,666,0.606150207,0.393849793,48.1,9.3,0.7,75.7,0.481,0.093,0.007,0.757
17,6309,63,Census Tract 6309,63,17031630900,,630900,31,0.364,1141,577,564,0.505696757,0.494303243,46.9,2.8,2.1,81.5,0.469,0.028,0.021,0.815
17,6401,64,Census Tract 6401,64,17031640100,,640100,31,0.417,441,293,148,0.664399093,0.335600907,52.4,0,1.1,53.3,0.524,0,0.011,0.533
17,6403,64,Census Tract 6403,64,17031640300,,640300,31,0.411,2290,1825,465,0.796943231,0.203056769,79.9,2.4,1,29.9,0.799,0.024,0.01,0.299
17,6404,64,Census Tract 6404,64,17031640400,,640400,31,0.366,1245,962,283,0.772690763,0.227309237,83.9,0,0,23.9,0.839,0,0,0.239
17,6405,64,Census Tract 6405,64,17031640500,,640500,31,0.336,1425,1212,213,0.850526316,0.149473684,80.8,0,0.6,28.1,0.808,0,0.006,0.281
17,6406,64,Census Tract 6406,64,17031640600,,640600,31,0.394,1604,910,694,0.567331671,0.432668329,83.1,0,1.8,25.7,0.831,0,0.018,0.257
17,6407,64,Census Tract 6407,64,17031640700,,640700,31,0.295,1067,843,224,0.790065604,0.209934396,72.4,0.2,0,43.4,0.724,0.002,0,0.434
17,6408,64,Census Tract 6408,64,17031640800,,640800,31,0.367,480,388,92,0.808333333,0.191666667,58.5,5,0,50,0.585,0.05,0,0.5
17,6501,65,Census Tract 6501,65,17031650100,,650100,31,0.37,1265,916,349,0.724110672,0.275889328,34.2,2.8,0,72.5,0.342,0.028,0,0.725
17,6502,65,Census Tract 6502,65,17031650200,,650200,31,0.407,1943,1238,705,0.637159032,0.362840968,51.6,1.1,0,51.9,0.516,0.011,0,0.519
17,6503_01,65,Census Tract 6503.01,65,17031650301,,650301,31,0.35,1563,1220,343,0.780550224,0.219449776,37.9,2.9,0,67.2,0.379,0.029,0,0.672
17,6503_02,65,Census Tract 6503.02,65,17031650302,,650302,31,0.327,1129,1101,28,0.975199291,0.024800709,52.5,1.5,0,65,0.525,0.015,0,0.65
17,6504,65,Census Tract 6504,65,17031650400,,650400,31,0.358,1632,1288,344,0.789215686,0.210784314,33,3.3,0,74.8,0.33,0.033,0,0.748
17,6505,65,Census Tract 6505,65,17031650500,,650500,31,0.394,1520,1281,239,0.842763158,0.157236842,44.4,21.1,2.5,45.2,0.444,0.211,0.025,0.452
17,6603_01,66,Census Tract 6603.01,66,17031660301,,660301,31,0.389,486,77,409,0.158436214,0.841563786,4.1,71,0,24.9,0.041,0.71,0,0.249
17,6603_02,66,Census Tract 6603.02,66,17031660302,,660302,31,0.383,1339,692,647,0.516803585,0.483196415,16,31.1,1.7,63.8,0.16,0.311,0.017,0.638
17,6604,66,Census Tract 6604,66,17031660400,,660400,31,0.397,1474,845,629,0.573270014,0.426729986,27.2,7.3,0,75.5,0.272,0.073,0,0.755
17,6605,66,Census Tract 6605,66,17031660500,,660500,31,0.417,1235,631,604,0.510931174,0.489068826,23.3,26.2,0,60.6,0.233,0.262,0,0.606
17,6606,66,Census Tract 6606,66,17031660600,,660600,31,0.404,1795,721,1074,0.401671309,0.598328691,9.2,66,3.3,27,0.092,0.66,0.033,0.27
17,6607,66,Census Tract 6607,66,17031660700,,660700,31,0.377,599,326,273,0.544240401,0.455759599,3.3,96.7,0,0,0.033,0.967,0,0
17,6608,66,Census Tract 6608,66,17031660800,,660800,31,0.398,1835,633,1202,0.344959128,0.655040872,10.2,72.2,0,21,0.102,0.722,0,0.21
17,6609,66,Census Tract 6609,66,17031660900,,660900,31,0.448,1495,430,1065,0.287625418,0.712374582,8.9,85.4,0,6.2,0.089,0.854,0,0.062
17,6610,66,Census Tract 6610,66,17031661000,,661000,31,0.397,1942,1165,777,0.599897013,0.400102987,2.7,95.5,0,1.5,0.027,0.955,0,0.015
17,6611,66,Census Tract 6611,66,17031661100,,661100,31,0.408,1836,1295,541,0.705337691,0.294662309,22.5,54.7,0,31.2,0.225,0.547,0,0.312
17,6701,67,Census Tract 6701,67,17031670100,,670100,31,0.363,488,242,246,0.495901639,0.504098361,5.9,94.1,0,4.7,0.059,0.941,0,0.047
17,6702,67,Census Tract 6702,67,17031670200,,670200,31,0.369,464,210,254,0.452586207,0.547413793,0,100,0,0,0,1,0,0
17,6703,67,Census Tract 6703,67,17031670300,,670300,31,0.374,318,133,185,0.418238994,0.581761006,2.5,88.7,8.8,2.5,0.025,0.887,0.088,0.025
17,6704,67,Census Tract 6704,67,17031670400,,670400,31,0.439,546,230,316,0.421245421,0.578754579,6,94,0,6,0.06,0.94,0,0.06
17,6705,67,Census Tract 6705,67,17031670500,,670500,31,0.39,315,160,155,0.507936508,0.492063492,0,100,0,0,0,1,0,0
17,6706,67,Census Tract 6706,67,17031670600,,670600,31,0.389,508,255,253,0.501968504,0.498031496,0,98.6,0,0,0,0.986,0,0
17,6707,67,Census Tract 6707,67,17031670700,,670700,31,0.491,398,164,234,0.412060302,0.587939698,0,97.2,0,0,0,0.972,0,0
17,6708,67,Census Tract 6708,67,17031670800,,670800,31,0.394,573,230,343,0.401396161,0.598603839,4.2,95.8,0,4.2,0.042,0.958,0,0.042
17,6709,67,Census Tract 6709,67,17031670900,,670900,31,0.439,500,268,232,0.536,0.464,0,96.6,0,0,0,0.966,0,0
17,6711,67,Census Tract 6711,67,17031671100,,671100,31,0.401,343,125,218,0.364431487,0.635568513,0,100,0,0,0,1,0,0
17,6712,67,Census Tract 6712,67,17031671200,,671200,31,0.248,403,135,268,0.334987593,0.665012407,0,100,0,0,0,1,0,0
17,6713,67,Census Tract 6713,67,17031671300,,671300,31,0.445,776,297,479,0.382731959,0.617268041,1,97.2,0,0,0.01,0.972,0,0
17,6714,67,Census Tract 6714,67,17031671400,,671400,31,0.389,500,335,165,0.67,0.33,2.8,96,0,2.8,0.028,0.96,0,0.028
17,6715,67,Census Tract 6715,67,17031671500,,671500,31,0.419,897,434,463,0.483835006,0.516164994,0,97.2,0,1.3,0,0.972,0,0.013
17,6716,67,Census Tract 6716,67,17031671600,,671600,31,0.426,880,281,599,0.319318182,0.680681818,0,97.7,0,0,0,0.977,0,0
17,6718,67,Census Tract 6718,67,17031671800,,671800,31,0.475,369,157,212,0.425474255,0.574525745,3.8,96.2,0,3.8,0.038,0.962,0,0.038
